model,lDDToligo_True,lDDToligo_EnQA-MSA
T1132TS180_1o,0.928,0.92919921875
T1132TS462_1o,0.932,0.92333984375
T1132TS462_3o,0.929,0.9169921875
T1132TS180_2o,0.924,0.9287109375
T1132TS180_3o,0.923,0.92724609375
T1132TS462_2o,0.928,0.9208984375
T1132TS180_4o,0.923,0.92724609375
T1132TS158_4o,0.922,0.904296875
T1132TS086_4o,0.923,0.90478515625
T1132TS248_3o,0.922,0.8935546875
T1132TS367_5o,0.926,0.9072265625
T1132TS035_3o,0.922,0.8935546875
T1132TS003_5o,0.926,0.908203125
T1132TS086_2o,0.926,0.908203125
T1132TS158_2o,0.926,0.908203125
T1132TS158_3o,0.926,0.9072265625
T1132TS086_3o,0.926,0.9072265625
T1132TS185_1o,0.893,0.7646484375
T1132TS187_2o,0.93,0.89208984375
T1132TS462_4o,0.925,0.9150390625
T1132TS423_2o,0.93,0.89208984375
T1132TS461_1o,0.922,0.89013671875
T1132TS446_1o,0.922,0.89013671875
T1132TS185_3o,0.883,0.74462890625
T1132TS035_4o,0.919,0.8935546875
T1132TS462_5o,0.918,0.90771484375
T1132TS248_4o,0.919,0.8935546875
T1132TS239_2o,0.924,0.89208984375
T1132TS071_2o,0.927,0.89013671875
T1132TS185_2o,0.892,0.75048828125
T1132TS035_5o,0.913,0.888671875
T1132TS248_5o,0.913,0.888671875
T1132TS239_3o,0.922,0.888671875
T1132TS180_5o,0.913,0.92578125
T1132TS071_1o,0.922,0.890625
T1132TS446_2o,0.919,0.89111328125
T1132TS239_1o,0.908,0.9013671875
T1132TS461_2o,0.919,0.89111328125
T1132TS037_1o,0.91,0.8994140625
T1132TS461_3o,0.916,0.88134765625
T1132TS367_4o,0.921,0.89111328125
T1132TS446_3o,0.916,0.88134765625
T1132TS374_1o,0.913,0.89013671875
T1132TS125_1o,0.917,0.8896484375
T1132TS071_4o,0.922,0.8916015625
T1132TS071_3o,0.921,0.8916015625
T1132TS054_1o,0.917,0.8896484375
T1132TS399_1o,0.917,0.8896484375
T1132TS169_3o,0.915,0.888671875
T1132TS054_2o,0.92,0.89111328125
T1132TS187_1o,0.879,0.8251953125
T1132TS298_2o,0.919,0.890625
T1132TS399_2o,0.92,0.89111328125
T1132TS248_1o,0.908,0.9013671875
T1132TS494_1o,0.922,0.69873046875
T1132TS248_2o,0.903,0.90283203125
T1132TS158_1o,0.908,0.89892578125
T1132TS003_1o,0.908,0.89892578125
T1132TS086_1o,0.908,0.89892578125
T1132TS423_1o,0.879,0.8251953125
T1132TS035_1o,0.908,0.9013671875
T1132TS035_2o,0.903,0.90283203125
T1132TS125_2o,0.92,0.89111328125
T1132TS350_1o,0.899,0.7060546875
T1132TS003_2o,0.917,0.8916015625
T1132TS071_5o,0.916,0.89013671875
T1132TS098_5o,0.91,0.89111328125
T1132TS374_3o,0.912,0.88525390625
T1132TS158_5o,0.917,0.8916015625
T1132TS239_4o,0.915,0.8876953125
T1132TS367_1o,0.917,0.8916015625
T1132TS367_3o,0.917,0.890625
T1132TS298_1o,0.917,0.89013671875
T1132TS169_5o,0.91,0.89111328125
T1132TS003_4o,0.907,0.89697265625
T1132TS367_2o,0.918,0.890625
T1132TS125_5o,0.912,0.88623046875
T1132TS003_3o,0.907,0.89697265625
T1132TS054_5o,0.912,0.88623046875
T1132TS399_5o,0.912,0.88623046875
T1132TS125_4o,0.914,0.8916015625
T1132TS399_4o,0.914,0.8916015625
T1132TS188_3o,0.914,0.88818359375
T1132TS054_4o,0.914,0.8916015625
T1132TS205_5o,0.765,0.69970703125
T1132TS446_5o,0.909,0.88134765625
T1132TS461_5o,0.909,0.88134765625
T1132TS298_5o,0.912,0.8896484375
T1132TS298_3o,0.907,0.88720703125
T1132TS205_3o,0.911,0.88916015625
T1132TS150_3o,0.914,0.890625
T1132TS320_5o,0.911,0.8916015625
T1132TS298_4o,0.909,0.88916015625
T1132TS374_2o,0.906,0.8876953125
T1132TS320_3o,0.913,0.89013671875
T1132TS360_1o,0.911,0.8916015625
T1132TS360_2o,0.913,0.89013671875
T1132TS390_5o,0.911,0.8916015625
T1132TS150_5o,0.912,0.89306640625
T1132TS390_3o,0.913,0.8896484375
T1132TS314_5o,0.911,0.8916015625
T1132TS446_4o,0.914,0.88671875
T1132TS086_5o,0.896,0.8994140625
T1132TS461_4o,0.914,0.88671875
T1132TS147_3o,0.907,0.89208984375
T1132TS423_3o,0.905,0.888671875
T1132TS187_3o,0.905,0.888671875
T1132TS350_3o,0.89,0.70361328125
T1132TS350_5o,0.886,0.70361328125
T1132TS054_3o,0.906,0.8876953125
T1132TS399_3o,0.906,0.8876953125
T1132TS125_3o,0.906,0.8876953125
T1132TS348_2o,0.91,0.88916015625
T1132TS188_4o,0.9,0.88671875
T1132TS320_2o,0.9,0.89013671875
T1132TS119_4o,0.9,0.89013671875
T1132TS348_3o,0.9,0.89013671875
T1132TS314_3o,0.9,0.89013671875
T1132TS188_2o,0.91,0.88818359375
T1132TS360_5o,0.91,0.8896484375
T1132TS150_2o,0.9,0.89013671875
T1132TS360_4o,0.908,0.88818359375
T1132TS350_4o,0.886,0.703125
T1132TS390_2o,0.9,0.89013671875
T1132TS360_3o,0.909,0.89013671875
T1132TS150_1o,0.898,0.89306640625
T1132TS314_2o,0.909,0.89013671875
T1132TS098_3o,0.902,0.86865234375
T1132TS350_2o,0.887,0.7041015625
T1132TS119_2o,0.897,0.892578125
T1132TS169_4o,0.885,0.87548828125
T1132TS374_4o,0.9,0.8837890625
T1132TS150_4o,0.906,0.88818359375
T1132TS320_1o,0.897,0.892578125
T1132TS348_1o,0.897,0.892578125
T1132TS390_1o,0.897,0.892578125
T1132TS320_4o,0.905,0.88818359375
T1132TS390_4o,0.905,0.88818359375
T1132TS348_4o,0.905,0.88818359375
T1132TS314_4o,0.905,0.88818359375
T1132TS205_4o,0.771,0.69921875
T1132TS147_4o,0.862,0.892578125
T1132TS239_5o,0.863,0.87353515625
T1132TS169_1o,0.876,0.86669921875
T1132TS169_2o,0.876,0.86669921875
T1132TS098_1o,0.876,0.89501953125
T1132TS147_2o,0.892,0.89404296875
T1132TS444_5o,0.884,0.8994140625
T1132TS444_1o,0.879,0.896484375
T1132TS185_4o,0.853,0.75341796875
T1132TS188_1o,0.893,0.88671875
T1132TS098_2o,0.893,0.876953125
T1132TS147_5o,0.855,0.8935546875
T1132TS147_1o,0.887,0.8955078125
T1132TS185_5o,0.841,0.77001953125
T1132TS374_5o,0.888,0.88232421875
T1132TS312_1o,0.882,0.70263671875
T1132TS494_3o,0.847,0.701171875
T1132TS312_2o,0.881,0.7021484375
T1132TS385_1o,0.871,0.884765625
T1132TS312_3o,0.875,0.7021484375
T1132TS444_3o,0.816,0.876953125
T1132TS205_2o,0.744,0.69873046875
T1132TS278_1o,0.828,0.86669921875
T1132TS348_5o,0.84,0.88720703125
T1132TS447_4o,0.79,0.68310546875
T1132TS494_2o,0.831,0.6826171875
T1132TS447_3o,0.79,0.68310546875
T1132TS447_5o,0.788,0.6806640625
T1132TS187_5o,0.802,0.84423828125
T1132TS423_5o,0.802,0.84423828125
T1132TS447_2o,0.791,0.6826171875
T1132TS447_1o,0.791,0.6826171875
T1132TS314_1o,0.784,0.86328125
T1132TS205_1o,0.743,0.72802734375
T1132TS493_5o,0.76,0.88720703125
T1132TS188_5o,0.76,0.7138671875
T1132TS278_4o,0.826,0.720703125
T1132TS037_5o,0.777,0.802734375
T1132TS037_3o,0.583,0.70849609375
T1132TS278_3o,0.701,0.74755859375
T1132TS165_5o,0.718,0.8955078125
T1132TS278_5o,0.708,0.72314453125
T1132TS091_5o,0.733,0.495361328125
T1132TS165_1o,0.697,0.89697265625
T1132TS091_1o,0.726,0.478271484375
T1132TS091_2o,0.726,0.48828125
T1132TS119_5o,0.726,0.646484375
T1132TS131_5o,0.726,0.646484375
T1132TS091_4o,0.724,0.486572265625
T1132TS091_3o,0.707,0.48095703125
T1132TS398_1o,0.682,0.8974609375
T1132TS037_4o,0.76,0.83056640625
T1132TS398_3o,0.69,0.89697265625
T1132TS398_5o,0.693,0.8984375
T1132TS398_2o,0.693,0.89794921875
T1132TS278_2o,0.675,0.81005859375
T1132TS493_2o,0.776,0.89111328125
T1132TS423_4o,0.745,0.853515625
T1132TS187_4o,0.745,0.853515625
T1132TS131_4o,0.711,0.72412109375
T1132TS131_1o,0.662,0.82470703125
T1132TS119_1o,0.662,0.82470703125
T1132TS131_3o,0.704,0.72900390625
T1132TS398_4o,0.684,0.896484375
T1132TS037_2o,0.773,0.8974609375
T1132TS131_2o,0.672,0.8369140625
