    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   H1168v1TS073_2     073s    DFolding-refine      0.944    0.944    -        -        C1        2        0.00     53       0        83.5     85.70      81.40       0.824      0.722      0.83           2          564        0.04     2.43       0.73       -262.0     -1787.9    1525.9     0.945     c3:17.80; c2:19.43
2   H1168v1TS288_2     288s    DFolding-server      0.925    0.925    -        -        C1        2        0.00     47       0        81.7     83.90      79.70       0.925      0.725      0.81           2          564        0.05     2.54       0.85       319.6      172.6      147.1      0.924     c3:17.58; c2:19.70
3   H1168v1TS360_3     360     MUFold_H             0.923    0.923    -        -        C1        2        0.00     44       0        76.6     85.40      69.50       0.919      0.707      0.73           2          564        0.05     2.24       0.80       123.0      117.7      5.3        0.939     c3:17.44; c2:19.40
4   H1168v1TS494_1     494     Venclovas            0.910    0.910    -        -        C1        2        0.00     47       0        79.3     84.60      74.60       0.894      0.606      0.79           2          564        0.08     4.14       1.02       747.8      712.5      35.2       0.859     c3:18.18; c2:19.97
5   H1168v1TS239_4     239s    Yang-Multimer        0.900    0.900    -        -        C1        2        0.00     52       0        79.3     84.60      74.60       0.890      0.676      0.77           2          564        0.05     2.47       0.96       -123.3     -1341.1    1217.8     0.929     c3:17.56; c2:19.49
6   H1168v1TS439_4     439     Yang                 0.900    0.900    -        -        C1        2        0.00     52       0        79.3     84.60      74.60       0.890      0.676      0.77           2          564        0.05     2.47       0.96       -123.3     -1341.1    1217.8     0.929     c3:17.56; c2:19.49
7   H1168v1TS348_5     348     Takeda-Shitaka_Lab   0.885    0.885    -        -        C1        2        0.00     41       0        62.5     81.10      50.80       0.909      0.609      0.71           2          564        0.05     2.48       0.98       360.5      176.2      184.3      0.926     c3:17.41; c2:19.41
8   H1168v1TS360_1     360     MUFold_H             0.879    0.879    -        -        C1        2        0.00     40       0        70.6     83.70      61.00       0.912      0.642      0.65           2          564        0.05     2.39       1.03       460.7      313.9      146.8      0.929     c3:17.53; c2:19.59
9   H1168v1TS091_2     091     UNRES                0.871    0.871    -        -        C1        2        0.00     51       0        72.7     71.00      74.60       0.777      0.664      0.77           2          564        0.04     2.35       1.27       2126.7     1160.6     966.1      0.934     c3:17.14; c2:18.98
10  H1168v1TS091_1     091     UNRES                0.869    0.869    -        -        C1        2        0.00     52       0        68.4     69.00      67.80       0.756      0.590      0.75           2          564        0.06     2.67       1.39       1931.0     1103.9     827.1      0.921     c3:17.28; c2:19.13
11  H1168v1TS374_4     374     Zheng                0.868    0.868    -        -        C1        2        0.00     43       0        69.7     76.00      64.40       0.903      0.589      0.75           2          564        0.07     3.46       1.15       352.7      212.4      140.3      0.871     c3:17.77; c2:19.86
12  H1168v1TS385_1     385     FoldEver-Hybrid      0.864    0.864    -        -        C1        2        0.00     42       0        69.1     74.50      64.40       0.902      0.609      0.75           2          564        0.05     3.22       1.15       359.2      266.8      92.4       0.887     c3:17.67; c2:19.71
13  H1168v1TS245_1     245s    FoldEver             0.864    0.864    -        -        C1        2        0.00     42       0        69.1     74.50      64.40       0.902      0.609      0.75           2          564        0.05     3.22       1.15       359.2      266.8      92.4       0.887     c3:17.67; c2:19.71
14  H1168v1TS360_2     360     MUFold_H             0.864    0.864    -        -        C1        2        0.00     41       1        72.0     87.80      61.00       0.910      0.619      0.67           2          564        0.05     2.60       1.10       533.3      362.6      170.7      0.918     c3:17.57; c2:19.66
