    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   H1134TS037_1       037     Wallner              0.885    0.905    2        A1B1     C1        2        0.00     121      0        81.1     77.30      85.30       0.904      0.724      0.88           2          506        0.02     2.66       1.80       2229.8     1258.0     971.8      0.969     c3:16.98; c2:16.70
2   H1134TS461_1       461     colabfold_human      0.860    0.873    2        A1B1     C1        2        0.00     108      0        78.2     78.50      77.90       0.888      0.716      0.83           2          506        0.02     2.09       2.05       3245.7     1383.0     1862.7     0.970     c3:16.98; c2:16.46
3   H1134TS229_4       229s    Yang-Server          0.860    0.873    2        A1B1     C1        2        0.00     108      0        78.0     80.50      75.70       0.865      0.709      0.83           2          506        0.02     2.09       2.05       3261.8     824.2      2437.6     0.970     c3:16.98; c2:16.46
4   H1134TS446_1       446s    ColabFold            0.860    0.873    2        A1B1     C1        2        0.00     108      0        78.2     78.50      77.90       0.888      0.716      0.83           2          506        0.02     2.09       2.05       3245.7     1383.0     1862.7     0.970     c3:16.98; c2:16.46
5   H1134TS461_3       461     colabfold_human      0.850    0.865    2        A1B1     C1        2        0.00     108      0        75.1     75.90      74.30       0.890      0.690      0.81           2          506        0.02     2.43       2.02       4203.0     1876.0     2327.0     0.969     c3:17.02; c2:16.64
6   H1134TS446_3       446s    ColabFold            0.850    0.865    2        A1B1     C1        2        0.00     108      0        75.1     75.90      74.30       0.890      0.690      0.81           2          506        0.02     2.43       2.02       4203.0     1876.0     2327.0     0.969     c3:17.02; c2:16.64
7   H1134TS180_2       180     McGuffin             0.850    0.866    2        A1B1     C1        2        0.00     110      0        77.4     75.50      79.40       0.893      0.726      0.83           2          506        0.02     2.04       1.78       2964.4     1390.9     1573.5     0.973     c3:16.87; c2:16.48
8   H1134TS092_1       092     Agemo_mix            0.850    0.865    2        A1B1     C1        2        0.00     106      0        76.9     78.00      75.70       0.875      0.703      0.86           2          506        0.02     2.07       2.09       3649.9     1755.8     1894.0     0.972     c3:16.70; c2:16.53
9   H1134TS494_1       494     Venclovas            0.849    0.865    2        A1B1     C1        2        0.00     108      0        76.3     74.60      77.90       0.888      0.720      0.79           2          506        0.02     2.21       1.86       3422.3     2053.2     1369.1     0.972     c3:16.97; c2:16.59
10  H1134TS439_1       439     Yang                 0.849    0.864    2        A1B1     C1        2        0.00     104      0        75.3     78.00      72.80       0.864      0.694      0.85           2          506        0.02     2.08       1.88       3385.1     1030.0     2355.1     0.973     c3:16.81; c2:16.49
11  H1134TS462_2       462s    MultiFOLD            0.843    0.862    2        A1B1     C1        2        0.00     110      0        74.4     71.10      77.90       0.887      0.702      0.85           2          506        0.03     2.36       1.83       2805.2     1121.0     1684.2     0.972     c3:16.90; c2:16.45
