    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   T1109TS239_1o      239s    Yang-Multimer        0.926    0.926    2        A2       C2        2        0.02     150      1        84.9     81.90      88.20       0.848      0.734      0.86           2          442        0.02     1.92       1.60       103.8      -1071.5    1175.3     0.960     c3:10.60; c2:0.02
2   T1109TS439_2o      439     Yang                 0.926    0.926    2        A2       C2        2        0.02     150      1        84.9     81.90      88.20       0.848      0.734      0.86           2          442        0.02     1.92       1.60       103.8      -1071.5    1175.3     0.960     c3:10.60; c2:0.02
3   T1109TS278_2o      278     PEZYFoldings         0.923    0.923    2        A2       C2        2        0.06     154      1        83.4     81.50      85.40       0.869      0.740      0.84           2          442        0.02     1.90       1.43       390.1      414.3      -24.2      0.959     c3:10.54; c2:0.04
4   T1109TS239_5o      239s    Yang-Multimer        0.921    0.921    2        A2       C2        2        0.04     151      1        83.1     79.60      86.80       0.847      0.729      0.85           2          442        0.02     1.93       1.59       123.8      -979.4     1103.2     0.959     c3:10.61; c2:0.03
5   T1109TS035_2o      035s    Manifold-E           0.913    0.913    2        A2       C2        2        0.04     156      2        84.9     80.60      89.60       0.888      0.750      0.89           2          442        0.01     1.85       1.49       63.5       100.5      -37.0      0.965     c3:10.69; c2:0.03
6   T1109TS037_4o      037     Wallner              0.910    0.910    2        A2       C2        2        0.22     162      1        84.9     79.00      91.70       0.899      0.763      0.88           2          442        0.01     1.63       1.48       -65.7      200.1      -265.8     0.975     c3:10.68; c2:0.15
7   T1109TS037_3o      037     Wallner              0.909    0.909    2        A2       C2        2        0.28     149      2        85.2     80.70      90.30       0.885      0.756      0.89           2          442        0.00     1.84       1.45       -223.4     7.9        -231.2     0.966     c3:10.57; c2:0.19
8   T1109TS239_3o      239s    Yang-Multimer        0.906    0.906    2        A2       C2        2        0.03     155      1        84.8     82.40      87.50       0.854      0.743      0.89           2          442        0.01     1.83       1.48       42.5       -941.6     984.1      0.964     c3:10.67; c2:0.02
9   T1109TS119_4o      119     Kiharalab            0.903    0.903    2        A2       C2        2        0.11     162      2        84.8     82.40      87.50       0.867      0.736      0.89           2          442        0.02     1.84       1.53       411.1      317.0      94.1       0.963     c3:10.66; c2:0.08
10  T1109TS131_1o      131s    Kiharalab_Server     0.903    0.903    2        A2       C2        2        0.11     162      2        84.8     82.40      87.50       0.867      0.736      0.89           2          442        0.02     1.84       1.53       439.6      405.7      33.9       0.963     c3:10.66; c2:0.08
11  T1109TS131_3o      131s    Kiharalab_Server     0.900    0.900    2        A2       C2        2        0.04     162      1        83.4     78.50      88.90       0.865      0.741      0.88           2          442        0.02     1.85       1.50       213.8      203.4      10.4       0.963     c3:10.63; c2:0.03
