    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   H1141TS278_2       278     PEZYFoldings         0.925    0.961    2        A1B1     C1        2        0.00     67       1        79.7     77.50      82.10       0.869      0.865      0.75           2          329        0.02     1.11       0.62       1559.5     944.8      614.8      0.975     c3:14.39; c2:13.49
2   H1141TS374_2       374     Zheng                0.916    0.916    2        A1B1     C1        2        0.00     57       0        80.3     85.00      76.10       0.876      0.765      0.77           2          329        0.03     1.42       1.25       1839.1     987.3      851.8      0.959     c3:14.42; c2:13.49
3   H1141TS374_1       374     Zheng                0.913    0.913    2        A1B1     C1        2        0.00     54       0        79.4     84.70      74.60       0.874      0.735      0.75           2          329        0.04     1.59       1.32       1862.8     986.9      875.9      0.949     c3:14.39; c2:13.49
4   H1141TS288_1       288s    DFolding-server      0.906    0.906    2        A1B1     C1        2        0.00     49       0        68.3     75.00      62.70       0.860      0.687      0.70           2          329        0.04     1.67       1.35       2251.1     1371.9     879.2      0.945     c3:14.37; c2:13.48
5   H1141TS035_1       035s    Manifold-E           0.891    0.891    2        A1B1     C1        2        0.00     46       0        75.0     84.90      67.20       0.864      0.732      0.73           2          329        0.03     1.39       1.32       2112.5     1123.1     989.4      0.960     c3:14.44; c2:13.54
6   H1141TS248_1       248     Manifold             0.891    0.891    2        A1B1     C1        2        0.00     46       0        75.0     84.90      67.20       0.864      0.732      0.73           2          329        0.03     1.39       1.32       2112.5     1123.1     989.4      0.960     c3:14.44; c2:13.54
7   H1141TS477_1       477     DMP                  0.885    0.944    2        A1B1     C1        2        0.00     65       0        76.7     77.30      76.10       0.856      0.830      0.73           2          329        0.02     1.13       0.75       1819.8     1229.4     590.3      0.975     c3:14.42; c2:13.58
8   H1141TS073_1       073s    DFolding-refine      0.879    0.881    2        A1B1     C1        2        0.00     50       0        73.6     79.30      68.70       0.794      0.719      0.79           2          329        0.01     1.58       1.49       1721.2     -84.3      1805.5     0.951     c3:14.66; c2:13.84
9   H1141TS494_1       494     Venclovas            0.868    0.929    2        A1B1     C1        2        0.00     60       0        72.3     74.60      70.10       0.843      0.776      0.69           2          329        0.02     1.53       0.90       1976.3     1251.3     725.0      0.961     c3:14.40; c2:13.54
10  H1141TS037_1       037     Wallner              0.865    0.927    2        A1B1     C1        2        0.00     65       0        75.0     73.90      76.10       0.866      0.827      0.71           2          329        0.03     1.20       0.88       1770.8     1017.8     753.0      0.970     c3:14.39; c2:13.50
11  H1141TS314_3       314     Pierce               0.717    0.717    2        A1B1     C1        2        0.00     59       0        52.7     54.80      50.70       0.795      0.511      0.61           2          329        0.09     2.44       2.63       1494.3     1107.4     387.0      0.900     c3:14.01; c2:13.52
