    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   H1142TS119_2       119     Kiharalab            0.673    0.673    2        A1B1     C1        2        0.00     30       0        44.7     45.90      43.60       0.814      0.314      0.61           1          208        0.00     1.12       2.72       931.3      404.0      527.3      0.773     c3:14.43; c2:14.77
2   H1142TS493_3       493     Shen-CAPRI           0.281    0.281    2        A1B1     C1        2        0.00     28       0        22.9     25.80      20.50       0.752      0.097      0.40           1          208        0.00     1.51       5.43       221.7      -508.6     730.3      0.638     c3:14.40; c2:14.74
3   H1142TS493_2       493     Shen-CAPRI           0.270    0.270    2        A1B1     C1        2        0.00     19       0        8.6      9.70       7.70        0.758      0.053      0.37           1          208        0.00     1.55       5.98       -173.8     -669.6     495.8      0.637     c3:14.52; c2:14.86
4   H1142TS147_2       147     SHT                  0.247    0.247    2        A1B1     C1        2        0.00     55       1        4.4      3.90       5.10        0.741      0.123      0.37           1          208        0.00     1.49       5.64       355.1      252.7      102.4      0.719     c3:14.50; c2:14.91
5   H1142TS493_1       493     Shen-CAPRI           0.203    0.203    2        A1B1     C1        2        0.00     26       0        18.7     19.40      17.90       0.751      0.088      0.37           1          208        0.00     1.59       9.98       52.0       -566.8     618.8      0.647     c3:14.61; c2:14.44
6   H1142TS493_4       493     Shen-CAPRI           0.186    0.186    2        A1B1     C1        2        0.00     11       0        12.2     30.00      7.70        0.756      0.053      0.20           1          208        0.00     1.51       8.68       830.2      -198.2     1028.4     0.642     c3:14.67; c2:14.50
7   H1142TS147_4       147     SHT                  0.166    0.166    2        A1B1     C1        2        0.00     57       2        7.4      7.10       7.70        0.739      0.127      0.47           1          208        0.00     1.49       7.68       617.2      375.4      241.8      0.717     c3:14.53; c2:15.02
8   H1142TS444_1       444     CoDock               0.133    0.134    2        A1B1     C1        2        0.00     74       1        7.1      5.40       10.30       0.774      0.070      0.26           1          208        0.00     1.36       9.07       224.7      456.1      -231.4     0.653     c3:14.36; c2:14.53
9   H1142TS398_3       398     ChaePred             0.126    0.126    2        A1B1     C1        2        0.00     80       1        11.5     8.00       20.50       0.748      0.088      0.21           1          208        0.00     1.12       7.66       123.3      140.3      -17.0      0.630     c3:14.24; c2:13.92
10  H1142TS165_4       165     FTBiot0119           0.122    0.122    2        A1B1     C1        2        0.00     100      4        6.2      4.50       10.30       0.795      0.057      0.27           1          208        0.00     1.14       8.65       18.0       115.9      -97.9      0.643     c3:14.35; c2:14.12
11  H1142TS444_3       444     CoDock               0.119    0.120    2        A1B1     C1        2        0.00     72       0        3.6      2.70       5.10        0.778      0.050      0.24           1          208        0.00     1.16       8.05       4.8        520.0      -515.2     0.651     c3:14.20; c2:14.15
