    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   H1172TS374_3       374     Zheng                0.678    0.688    -        -        -         -        -        -        -        53.8     58.33      53.82       0.791      0.479      0.60           -          -          -        -          1.69       -          -          -          0.937     -
2   H1172TS122_2       122     zax                  0.666    0.677    -        -        -         -        -        -        -        54.8     52.91      58.54       0.790      0.370      0.54           -          -          -        -          1.24       -          -          -          0.892     -
3   H1172TS461_1       461     colabfold_human      0.666    0.677    -        -        -         -        -        -        -        54.8     52.91      58.54       0.790      0.370      0.54           -          -          -        -          1.24       -          -          -          0.892     -
4   H1172TS122_5       122     zax                  0.666    0.677    -        -        -         -        -        -        -        54.8     52.91      58.54       0.790      0.370      0.54           -          -          -        -          1.24       -          -          -          0.892     -
5   H1172TS446_1       446s    ColabFold            0.666    0.677    -        -        -         -        -        -        -        54.8     52.91      58.54       0.790      0.370      0.54           -          -          -        -          1.24       -          -          -          0.892     -
6   H1172TS122_1       122     zax                  0.666    0.677    -        -        -         -        -        -        -        54.8     52.91      58.54       0.790      0.370      0.54           -          -          -        -          1.24       -          -          -          0.892     -
7   H1172TS122_3       122     zax                  0.666    0.677    -        -        -         -        -        -        -        54.8     52.91      58.54       0.790      0.370      0.54           -          -          -        -          1.24       -          -          -          0.892     -
8   H1172TS122_4       122     zax                  0.666    0.677    -        -        -         -        -        -        -        54.8     52.91      58.54       0.790      0.370      0.54           -          -          -        -          1.24       -          -          -          0.892     -
9   H1172TS229_2       229s    Yang-Server          0.664    0.668    -        -        -         -        -        -        -        52.9     59.82      50.30       0.767      0.398      0.58           -          -          -        -          1.87       -          -          -          0.920     -
10  H1172TS439_2       439     Yang                 0.664    0.668    -        -        -         -        -        -        -        52.9     59.82      50.30       0.767      0.398      0.58           -          -          -        -          1.87       -          -          -          0.920     -
11  H1172TS494_3       494     Venclovas            0.662    0.679    -        -        -         -        -        -        -        60.2     65.22      57.26       0.780      0.509      0.64           -          -          -        -          0.74       -          -          -          0.914     -
12  H1172TS439_1       439     Yang                 0.659    0.660    -        -        -         -        -        -        -        54.0     69.38      48.74       0.766      0.394      0.56           -          -          -        -          1.83       -          -          -          0.918     -
13  H1172TS229_1       229s    Yang-Server          0.659    0.660    -        -        -         -        -        -        -        54.0     69.38      48.74       0.766      0.394      0.56           -          -          -        -          1.83       -          -          -          0.918     -
14  H1172TS461_2       461     colabfold_human      0.658    0.671    -        -        -         -        -        -        -        53.3     51.09      57.17       0.785      0.358      0.54           -          -          -        -          1.29       -          -          -          0.890     -
15  H1172TS446_2       446s    ColabFold            0.658    0.671    -        -        -         -        -        -        -        53.3     51.09      57.17       0.785      0.358      0.54           -          -          -        -          1.29       -          -          -          0.890     -
16  H1172TS071_1       071s    RaptorX-Multimer     0.657    0.658    -        -        -         -        -        -        -        52.6     54.90      52.26       0.788      0.360      0.54           -          -          -        -          1.68       -          -          -          0.907     -
17  H1172TS071_4       071s    RaptorX-Multimer     0.657    0.660    -        -        -         -        -        -        -        51.8     55.36      50.10       0.786      0.348      0.55           -          -          -        -          1.76       -          -          -          0.894     -
18  H1172TS461_4       461     colabfold_human      0.655    0.668    -        -        -         -        -        -        -        50.7     47.65      55.79       0.772      0.361      0.52           -          -          -        -          1.40       -          -          -          0.893     -
19  H1172TS092_1       092     Agemo_mix            0.655    0.675    -        -        -         -        -        -        -        53.9     53.82      55.20       0.788      0.363      0.55           -          -          -        -          1.53       -          -          -          0.895     -
20  H1172TS446_4       446s    ColabFold            0.655    0.668    -        -        -         -        -        -        -        50.7     47.65      55.79       0.772      0.361      0.52           -          -          -        -          1.40       -          -          -          0.893     -
21  H1172TS071_2       071s    RaptorX-Multimer     0.654    0.656    -        -        -         -        -        -        -        51.8     55.30      50.48       0.791      0.364      0.55           -          -          -        -          1.67       -          -          -          0.914     -
22  H1172TS439_3       439     Yang                 0.653    0.654    -        -        -         -        -        -        -        52.3     67.30      49.71       0.765      0.385      0.58           -          -          -        -          1.87       -          -          -          0.918     -
23  H1172TS229_3       229s    Yang-Server          0.653    0.654    -        -        -         -        -        -        -        52.3     67.30      49.71       0.765      0.385      0.58           -          -          -        -          1.87       -          -          -          0.918     -
24  H1172TS071_3       071s    RaptorX-Multimer     0.650    0.652    -        -        -         -        -        -        -        50.7     54.26      48.73       0.775      0.341      0.54           -          -          -        -          1.81       -          -          -          0.892     -
25  H1172TS350_4       350     ClusPro              0.650    0.680    -        -        -         -        -        -        -        58.4     53.82      66.20       0.804      0.526      0.61           -          -          -        -          1.35       -          -          -          0.920     -
26  H1172TS291_4       291     Kozakov-Vajda        0.650    0.680    -        -        -         -        -        -        -        58.0     54.00      64.82       0.804      0.523      0.61           -          -          -        -          0.72       -          -          -          0.920     -
27  H1172TS291_1       291     Kozakov-Vajda        0.647    0.680    -        -        -         -        -        -        -        61.0     57.33      67.57       0.799      0.529      0.63           -          -          -        -          1.47       -          -          -          0.920     -
28  H1172TS350_1       350     ClusPro              0.647    0.680    -        -        -         -        -        -        -        61.5     57.23      68.97       0.799      0.534      0.63           -          -          -        -          1.44       -          -          -          0.920     -
29  H1172TS086_4       086s    MULTICOM_qa          0.644    0.654    -        -        -         -        -        -        -        50.9     53.26      52.45       0.787      0.427      0.56           -          -          -        -          1.79       -          -          -          0.913     -
30  H1172TS003_5       003     MULTICOM_human       0.644    0.654    -        -        -         -        -        -        -        50.9     53.26      52.45       0.787      0.427      0.56           -          -          -        -          1.79       -          -          -          0.913     -
31  H1172TS367_5       367     MULTICOM             0.644    0.654    -        -        -         -        -        -        -        50.9     53.26      52.45       0.787      0.427      0.56           -          -          -        -          1.79       -          -          -          0.913     -
32  H1172TS298_2       298s    MUFold               0.643    0.649    -        -        -         -        -        -        -        51.7     53.41      52.64       0.789      0.438      0.57           -          -          -        -          1.77       -          -          -          0.914     -
33  H1172TS446_3       446s    ColabFold            0.642    0.660    -        -        -         -        -        -        -        52.5     53.78      52.46       0.788      0.352      0.52           -          -          -        -          1.53       -          -          -          0.891     -
34  H1172TS461_3       461     colabfold_human      0.642    0.660    -        -        -         -        -        -        -        52.5     53.78      52.46       0.788      0.352      0.52           -          -          -        -          1.53       -          -          -          0.891     -
35  H1172TS147_5       147     SHT                  0.641    0.644    -        -        -         -        -        -        -        59.6     67.15      56.55       0.792      0.420      0.63           -          -          -        -          1.79       -          -          -          0.915     -
36  H1172TS125_1       125s    UltraFold_Server     0.640    0.645    -        -        -         -        -        -        -        53.2     65.20      49.12       0.790      0.387      0.56           -          -          -        -          1.45       -          -          -          0.914     -
37  H1172TS046_3       046s    Manifold-LC-E        0.640    0.645    -        -        -         -        -        -        -        60.6     69.52      54.61       0.801      0.423      0.66           -          -          -        -          0.85       -          -          -          0.919     -
38  H1172TS399_1       399     BeijingAIProtein     0.640    0.645    -        -        -         -        -        -        -        53.2     65.20      49.12       0.790      0.387      0.56           -          -          -        -          1.45       -          -          -          0.914     -
39  H1172TS054_1       054     UltraFold            0.640    0.645    -        -        -         -        -        -        -        53.2     65.20      49.12       0.790      0.387      0.56           -          -          -        -          1.45       -          -          -          0.914     -
40  H1172TS035_3       035s    Manifold-E           0.640    0.645    -        -        -         -        -        -        -        60.6     69.52      54.61       0.801      0.423      0.66           -          -          -        -          0.85       -          -          -          0.919     -
41  H1172TS304_3       304     Manifold-X           0.640    0.645    -        -        -         -        -        -        -        60.6     69.52      54.61       0.801      0.423      0.66           -          -          -        -          0.85       -          -          -          0.919     -
42  H1172TS248_3       248     Manifold             0.640    0.645    -        -        -         -        -        -        -        60.6     69.52      54.61       0.801      0.423      0.66           -          -          -        -          0.85       -          -          -          0.919     -
43  H1172TS320_5       320     Elofsson             0.639    0.642    -        -        -         -        -        -        -        57.0     65.45      53.23       0.793      0.413      0.61           -          -          -        -          1.80       -          -          -          0.915     -
44  H1172TS348_4       348     Takeda-Shitaka_Lab   0.639    0.642    -        -        -         -        -        -        -        57.0     65.45      53.23       0.793      0.413      0.61           -          -          -        -          1.80       -          -          -          0.915     -
45  H1172TS314_2       314     Pierce               0.639    0.642    -        -        -         -        -        -        -        57.0     65.45      53.23       0.793      0.413      0.61           -          -          -        -          1.80       -          -          -          0.915     -
46  H1172TS086_3       086s    MULTICOM_qa          0.638    0.646    -        -        -         -        -        -        -        51.4     54.23      52.45       0.789      0.431      0.57           -          -          -        -          1.76       -          -          -          0.917     -
47  H1172TS158_3       158s    MULTICOM_deep        0.638    0.646    -        -        -         -        -        -        -        51.4     54.23      52.45       0.789      0.431      0.57           -          -          -        -          1.76       -          -          -          0.917     -
48  H1172TS229_4       229s    Yang-Server          0.638    0.639    -        -        -         -        -        -        -        47.8     54.37      44.20       0.760      0.357      0.51           -          -          -        -          1.85       -          -          -          0.916     -
49  H1172TS439_4       439     Yang                 0.638    0.639    -        -        -         -        -        -        -        47.8     54.37      44.20       0.760      0.357      0.51           -          -          -        -          1.85       -          -          -          0.916     -
