    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   H1166TS360_3       360     MUFold_H             0.733    0.764    3        A1B1C1   C1        3        0.00     154      0        60.9     59.67      64.32       0.832      0.275      0.65           2          438        0.05     3.25       2.55       655.5      943.7      -288.2     0.744     c3:30.93; c2:3.48
2   H1166TS150_4       150     Grudinin             0.721    0.765    3        A1B1C1   C1        3        0.00     161      1        62.9     64.71      64.95       0.831      0.230      0.65           2          438        0.10     6.68       3.60       701.6      1024.3     -322.7     0.600     c3:30.07; c2:7.23
3   H1166TS494_2       494     Venclovas            0.712    0.735    3        A1B1C1   C1        3        0.00     177      1        64.5     58.92      71.34       0.822      0.294      0.62           2          438        0.07     4.03       3.01       350.3      1145.6     -795.3     0.698     c3:29.36; c2:4.21
4   H1166TS248_3       248     Manifold             0.699    0.724    3        A1B1C1   C1        3        0.00     164      0        65.4     64.48      66.85       0.817      0.341      0.66           2          438        0.02     1.71       1.40       1542.1     1783.3     -241.2     0.803     c3:31.25; c2:3.42
5   H1166TS035_3       035s    Manifold-E           0.699    0.724    3        A1B1C1   C1        3        0.00     164      0        65.4     64.48      66.85       0.817      0.341      0.66           2          438        0.02     1.71       1.40       1542.1     1783.3     -241.2     0.803     c3:31.25; c2:3.42
6   H1166TS071_2       071s    RaptorX-Multimer     0.693    0.725    3        A1B1C1   C2        2        3.33     167      1        59.2     54.44      64.97       0.809      0.261      0.64           2          438        0.04     2.72       2.24       551.8      1015.7     -464.0     0.743     c3:32.40; c2:2.98
7   H1166TS119_3       119     Kiharalab            0.689    0.714    3        A1B1C1   C1        3        0.00     156      1        61.3     58.43      66.25       0.833      0.212      0.65           2          438        0.09     5.96       4.32       635.2      1078.2     -443.0     0.628     c3:30.03; c2:6.41
8   H1166TS227_5       227     GinobiFold           0.687    0.712    3        A1B1C1   C1        3        0.00     164      0        62.8     60.47      66.88       0.840      0.217      0.67           2          438        0.12     6.65       4.42       493.6      946.3      -452.8     0.608     c3:30.13; c2:7.15
9   H1166TS133_5       133s    ShanghaiTech-TS-SER  0.687    0.712    3        A1B1C1   C1        3        0.00     164      0        62.8     60.47      66.88       0.840      0.217      0.67           2          438        0.12     6.65       4.42       493.6      946.3      -452.8     0.608     c3:30.13; c2:7.15
10  H1166TS119_5       119     Kiharalab            0.684    0.708    3        A1B1C1   C2        2        3.01     163      0        58.9     55.60      63.69       0.835      0.283      0.61           2          438        0.02     2.16       1.80       621.1      841.3      -220.1     0.784     c3:31.44; c2:2.78
11  H1166TS360_5       360     MUFold_H             0.680    0.711    3        A1B1C1   C1        3        0.00     160      0        58.3     55.93      63.10       0.825      0.271      0.64           2          438        0.05     3.44       3.11       511.3      789.8      -278.6     0.742     c3:31.25; c2:3.71
12  H1166TS086_2       086s    MULTICOM_qa          0.680    0.705    3        A1B1C1   C1        3        0.00     155      0        53.7     49.62      58.62       0.823      0.221      0.61           2          438        0.07     3.98       3.47       662.3      826.2      -163.9     0.692     c3:30.95; c2:4.21
13  H1166TS360_2       360     MUFold_H             0.680    0.710    3        A1B1C1   C1        3        0.00     161      1        55.7     54.94      59.90       0.824      0.243      0.63           2          438        0.05     3.48       3.08       568.5      862.6      -294.1     0.722     c3:31.03; c2:3.73
14  H1166TS360_1       360     MUFold_H             0.680    0.709    3        A1B1C1   C1        3        0.00     159      0        58.0     55.49      61.75       0.824      0.256      0.64           2          438        0.05     3.46       3.04       446.9      845.4      -398.5     0.731     c3:30.98; c2:3.66
