    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   H1140TS037_1       037     Wallner              0.819    0.900    2        A1B1     C1        2        0.00     55       0        80.7     76.20      85.70       0.829      0.816      0.75           2          328        0.02     1.27       1.07       1613.5     1053.2     560.3      0.967     c3:13.77; c2:15.20
2   H1140TS374_1       374     Zheng                0.678    0.687    2        A1B1     C1        2        0.00     41       0        51.1     63.20      42.90       0.786      0.501      0.67           2          328        0.08     2.22       2.62       2430.2     1256.4     1173.8     0.916     c3:14.22; c2:15.56
3   H1140TS374_2       374     Zheng                0.675    0.687    2        A1B1     C1        2        0.00     42       0        53.8     58.30      50.00       0.774      0.472      0.73           2          328        0.06     2.28       2.47       2430.6     1093.6     1337.0     0.910     c3:14.27; c2:15.52
4   H1140TS131_1       131s    Kiharalab_Server     0.601    0.601    2        A1B1     C1        2        0.00     29       0        43.0     54.10      35.70       0.770      0.307      0.64           2          328        0.10     3.27       3.47       2469.1     1295.6     1173.6     0.835     c3:14.42; c2:15.57
5   H1140TS119_1       119     Kiharalab            0.601    0.601    2        A1B1     C1        2        0.00     29       0        43.0     54.10      35.70       0.770      0.307      0.64           2          328        0.10     3.27       3.47       2458.1     1239.4     1218.7     0.835     c3:14.42; c2:15.57
6   H1140TS374_3       374     Zheng                0.585    0.589    2        A1B1     C1        2        0.00     33       0        42.2     55.90      33.90       0.776      0.372      0.63           2          328        0.08     3.01       3.01       2632.8     1419.6     1213.2     0.861     c3:14.40; c2:15.61
7   H1140TS278_5       278     PEZYFoldings         0.546    0.546    2        A1B1     C1        2        0.00     31       0        35.7     53.60      26.80       0.785      0.173      0.52           1          198        0.00     0.88       4.50       2490.9     1389.4     1101.6     0.670     c3:14.92; c2:15.72
8   H1140TS314_1       314     Pierce               0.536    0.545    2        A1B1     C1        2        0.00     43       0        39.2     46.30      33.90       0.732      0.344      0.60           2          328        0.12     3.12       3.51       2349.8     1574.7     775.1      0.837     c3:13.73; c2:15.00
9   H1140TS494_1       494     Venclovas            0.468    0.477    2        A1B1     C1        2        0.00     54       1        26.7     28.60      25.00       0.751      0.214      0.47           1          198        0.00     0.91       4.40       2640.2     1632.9     1007.3     0.732     c3:13.55; c2:14.68
10  H1140TS494_3       494     Venclovas            0.426    0.430    2        A1B1     C1        2        0.00     50       0        23.9     24.50      23.20       0.746      0.193      0.58           1          198        0.00     0.91       5.21       2492.6     1503.3     989.4      0.724     c3:13.63; c2:14.87
11  H1140TS444_1       444     CoDock               0.396    0.416    2        A1B1     C1        2        0.00     74       0        27.5     23.20      33.90       0.740      0.275      0.56           1          198        0.00     1.09       5.13       1758.5     1356.1     402.4      0.770     c3:14.17; c2:15.71
12  H1140TS119_4       119     Kiharalab            0.350    0.350    2        A1B1     C1        2        0.00     28       1        20.0     33.30      14.30       0.752      0.097      0.34           1          198        0.00     0.95       7.64       2633.6     1460.7     1172.9     0.661     c3:14.40; c2:15.77
13  H1140TS147_1       147     SHT                  0.320    0.321    2        A1B1     C1        2        0.00     70       3        20.8     18.80      23.20       0.710      0.122      0.48           1          198        0.00     1.39       8.00       2308.3     868.0      1440.3     0.634     c3:13.35; c2:14.82
