    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   T1121TS288_5o      288s    DFolding-server      0.757    0.760    2        A2       C2        2        1.69     52       0        67.6     87.70      54.90       0.792      0.487      0.56           2          730        0.02     4.11       2.50       2731.4     3245.3     -514.0     0.850     c3:11.05; c2:0.74
2   T1121TS444_4o      444     CoDock               0.631    0.650    2        A2       C2        2        2.23     117      1        56.0     52.90      59.30       0.778      0.457      0.53           1          365        0.00     3.45       3.10       -1599.4    1691.1     -3290.5    0.783     c3:10.70; c2:0.89
3   T1121TS444_1o      444     CoDock               0.592    0.603    2        A2       C2        2        2.15     116      1        50.5     48.50      52.70       0.777      0.419      0.51           1          365        0.00     3.46       3.22       -1466.2    1753.3     -3219.5    0.771     c3:10.74; c2:0.88
4   T1121TS446_2o      446s    ColabFold            0.542    0.542    2        A2       C2        2        0.07     62       0        56.9     77.40      45.10       0.788      0.351      0.42           2          730        0.03     5.93       3.88       1382.8     2866.7     -1483.8    0.740     c3:11.18; c2:0.05
5   T1121TS461_2o      461     colabfold_human      0.542    0.542    2        A2       C2        2        0.07     62       0        56.9     77.40      45.10       0.788      0.351      0.42           2          730        0.03     5.93       3.88       1382.8     2866.7     -1483.8    0.740     c3:11.18; c2:0.05
6   T1121TS447_1o      447     DELCLAB              0.530    0.538    2        A2       C2        2        1.25     129      1        47.4     41.10      56.00       0.763      0.430      0.46           2          730        0.11     5.91       3.52       -4021.7    -1445.9    -2575.8    0.757     c3:11.13; c2:0.86
7   T1121TS447_3o      447     DELCLAB              0.485    0.489    2        A2       C1        2        0.00     135      1        39.3     34.10      46.20       0.756      0.348      0.47           1          365        0.00     3.71       3.80       -4122.5    -1442.1    -2680.4    0.719     c3:9.46; c2:3.17
8   T1121TS447_5o      447     DELCLAB              0.465    0.475    2        A2       C1        2        0.00     139      3        32.4     27.50      39.60       0.755      0.332      0.43           1          365        0.00     3.72       3.88       -4069.8    -1436.1    -2633.7    0.719     c3:9.71; c2:3.38
9   T1121TS037_4o      037     Wallner              0.453    0.453    2        A2       C2        2        1.07     62       0        50.7     67.30      40.70       0.779      0.322      0.33           2          730        0.03     6.07       4.23       -457.2     2156.5     -2613.8    0.730     c3:10.99; c2:0.69
10  T1121TS494_4o      494     Venclovas            0.450    0.450    2        A2       C2        2        0.23     51       0        55.2     74.10      44.00       0.783      0.312      0.33           1          365        0.00     3.44       4.25       1791.7     3284.2     -1492.5    0.718     c3:10.99; c2:0.14
11  T1121TS444_2o      444     CoDock               0.428    0.428    2        A2       C2        2        0.39     60       0        55.8     73.20      45.10       0.769      0.322      0.33           1          365        0.00     3.53       4.46       156.1      2632.2     -2476.1    0.704     c3:11.06; c2:0.27
12  T1121TS447_4o      447     DELCLAB              0.428    0.435    2        A2       C2        2        4.51     123      3        27.0     23.40      31.90       0.751      0.280      0.40           1          365        0.00     3.74       4.19       -3763.0    -1551.9    -2211.1    0.723     c3:10.57; c2:2.03
13  T1121TS147_4o      147     SHT                  0.426    0.426    2        A2       C2        2        0.77     42       0        53.9     67.20      45.10       0.720      0.168      0.37           1          365        0.00     3.89       13.26      -3561.7    -81.4      -3480.3    0.591     c3:11.18; c2:0.54
14  T1121TS239_3o      239s    Yang-Multimer        0.417    0.417    2        A2       C2        2        0.59     41       0        58.8     88.90      44.00       0.748      0.158      0.39           1          365        0.00     6.14       18.53      1820.1     223.4      1596.7     0.526     c3:15.75; c2:0.41
15  T1121TS288_4o      288s    DFolding-server      0.415    0.415    2        A2       C2        2        0.50     53       0        53.1     73.10      41.80       0.781      0.289      0.31           1          365        0.00     2.93       4.53       1173.8     2886.8     -1713.0    0.726     c3:10.72; c2:0.31
16  T1121TS239_5o      239s    Yang-Multimer        0.414    0.414    2        A2       C2        2        0.10     40       0        56.7     88.40      41.80       0.750      0.162      0.36           1          365        0.00     2.89       11.98      674.9      -167.3     842.2      0.643     c3:11.33; c2:0.07
17  T1121TS439_4o      439     Yang                 0.412    0.412    2        A2       C2        2        0.30     38       0        56.9     84.80      42.90       0.751      0.179      0.38           1          365        0.00     2.23       9.25       1185.9     -8.5       1194.4     0.682     c3:10.60; c2:0.17
18  T1121TS169_3o      169     GuijunLab-Human      0.412    0.412    2        A2       C2        2        0.67     39       0        58.8     88.90      44.00       0.778      0.185      0.39           1          365        0.00     2.08       8.96       1892.2     3083.1     -1190.9    0.681     c3:10.43; c2:0.38
19  T1121TS239_2o      239s    Yang-Multimer        0.411    0.411    2        A2       C2        2        0.16     37       0        56.7     88.40      41.80       0.748      0.154      0.36           1          365        0.00     3.65       14.93      1520.8     118.0      1402.8     0.575     c3:12.77; c2:0.11
20  T1121TS119_4o      119     Kiharalab            0.411    0.411    2        A2       C2        2        0.13     39       0        58.8     88.90      44.00       0.775      0.164      0.39           1          365        0.00     3.21       13.57      1802.0     3210.1     -1408.1    0.605     c3:11.61; c2:0.09
21  T1121TS119_5o      119     Kiharalab            0.408    0.408    2        A2       C2        2        0.11     37       0        58.8     88.90      44.00       0.779      0.171      0.39           1          365        0.00     3.28       10.63      1982.0     3249.5     -1267.5    0.621     c3:9.78; c2:0.08
22  T1121TS461_5o      461     colabfold_human      0.408    0.408    2        A2       C2        2        0.11     37       0        58.8     88.90      44.00       0.779      0.171      0.39           1          365        0.00     3.28       10.63      1953.3     3237.6     -1284.3    0.621     c3:9.78; c2:0.08
23  T1121TS091_3o      091     UNRES                0.408    0.408    2        A2       C2        2        2.20     37       0        52.6     78.30      39.60       0.747      0.164      0.35           1          365        0.00     2.57       9.25       3941.5     3489.6     451.9      0.655     c3:9.64; c2:1.17
24  T1121TS446_5o      446s    ColabFold            0.408    0.408    2        A2       C2        2        0.11     37       0        58.8     88.90      44.00       0.779      0.171      0.39           1          365        0.00     3.28       10.63      1953.3     3237.6     -1284.3    0.621     c3:9.78; c2:0.08
25  T1121TS091_5o      091     UNRES                0.406    0.406    2        A2       C2        2        1.36     38       0        48.5     78.00      35.20       0.744      0.146      0.32           1          365        0.00     2.51       8.72       3787.0     3427.1     359.9      0.672     c3:10.50; c2:0.77
26  T1121TS493_3o      493     Shen-CAPRI           0.404    0.404    2        A2       C2        2        2.89     38       0        57.4     86.70      42.90       0.776      0.215      0.39           1          365        0.00     4.08       6.41       1808.5     2764.3     -955.8     0.701     c3:10.75; c2:2.03
27  T1121TS091_4o      091     UNRES                0.397    0.397    2        A2       C2        2        4.04     31       0        42.4     68.30      30.80       0.746      0.134      0.30           1          365        0.00     2.62       8.17       4623.7     3970.8     652.9      0.630     c3:9.47; c2:2.05
28  T1121TS091_2o      091     UNRES                0.393    0.393    2        A2       C2        2        2.27     31       0        42.4     68.30      30.80       0.743      0.145      0.30           1          365        0.00     2.51       7.67       4162.6     3677.7     484.8      0.688     c3:9.46; c2:1.18
29  T1121TS461_3o      461     colabfold_human      0.380    0.380    2        A2       C2        2        0.11     46       0        55.2     74.10      44.00       0.778      0.197      0.36           1          365        0.00     3.25       7.71       1420.1     2821.6     -1401.4    0.682     c3:10.14; c2:0.07
30  T1121TS446_3o      446s    ColabFold            0.380    0.380    2        A2       C2        2        0.11     46       0        55.2     74.10      44.00       0.778      0.197      0.36           1          365        0.00     3.25       7.71       1420.1     2821.6     -1401.4    0.682     c3:10.14; c2:0.07
31  T1121TS131_4o      131s    Kiharalab_Server     0.376    0.376    2        A2       C2        2        6.84     41       0        51.0     68.50      40.70       0.731      0.140      0.30           1          253        0.00     10.22      26.86      4000.8     4088.2     -87.4      0.504     c3:16.30; c2:4.37
