    Model              Gr.Code Group                QSglob   QSbest   Mol.Size Stoich.  Symm.     SymmSize SymmRMSD No.Conts No.Clash F1       Prec.Iface Recal.Iface lDDToligo  DockQ_Avg  Jaccard.Coeff. Align.Size Align.Len  Orient   LocalRMSD  Iface.RMSD SA.total   SA.polar  SA.apolar  TMscore    SymmGr.RMSD
1   H1171TS374_5       374     Zheng                0.734    0.748    -        -        -         -        -        -        -        57.5     62.57      55.52       0.813      0.511      0.61           -          -          -        -          1.79       -          -          -          0.945     -
2   H1171TS248_2       248     Manifold             0.731    0.737    -        -        -         -        -        -        -        61.6     67.38      58.11       0.809      0.564      0.64           -          -          -        -          0.71       -          -          -          0.941     -
3   H1171TS046_1       046s    Manifold-LC-E        0.731    0.737    -        -        -         -        -        -        -        61.5     67.32      57.89       0.809      0.563      0.64           -          -          -        -          0.72       -          -          -          0.941     -
4   H1171TS304_2       304     Manifold-X           0.731    0.737    -        -        -         -        -        -        -        61.6     67.38      58.11       0.809      0.564      0.64           -          -          -        -          0.71       -          -          -          0.941     -
5   H1171TS046_2       046s    Manifold-LC-E        0.731    0.737    -        -        -         -        -        -        -        61.6     67.38      58.11       0.809      0.564      0.64           -          -          -        -          0.71       -          -          -          0.941     -
6   H1171TS304_1       304     Manifold-X           0.731    0.737    -        -        -         -        -        -        -        61.5     67.32      57.89       0.809      0.563      0.64           -          -          -        -          0.72       -          -          -          0.941     -
7   H1171TS035_1       035s    Manifold-E           0.731    0.737    -        -        -         -        -        -        -        61.5     67.32      57.89       0.809      0.563      0.64           -          -          -        -          0.72       -          -          -          0.941     -
8   H1171TS035_2       035s    Manifold-E           0.731    0.737    -        -        -         -        -        -        -        61.6     67.38      58.11       0.809      0.564      0.64           -          -          -        -          0.71       -          -          -          0.941     -
9   H1171TS248_1       248     Manifold             0.731    0.737    -        -        -         -        -        -        -        61.5     67.32      57.89       0.809      0.563      0.64           -          -          -        -          0.72       -          -          -          0.941     -
10  H1171TS348_2       348     Takeda-Shitaka_Lab   0.731    0.744    -        -        -         -        -        -        -        58.0     60.49      58.09       0.810      0.526      0.64           -          -          -        -          1.87       -          -          -          0.944     -
11  H1171TS035_4       035s    Manifold-E           0.724    0.735    -        -        -         -        -        -        -        60.3     67.62      55.31       0.807      0.552      0.62           -          -          -        -          0.83       -          -          -          0.941     -
12  H1171TS046_4       046s    Manifold-LC-E        0.724    0.735    -        -        -         -        -        -        -        60.3     67.62      55.31       0.807      0.552      0.62           -          -          -        -          0.83       -          -          -          0.941     -
13  H1171TS248_4       248     Manifold             0.724    0.735    -        -        -         -        -        -        -        60.3     67.62      55.31       0.807      0.552      0.62           -          -          -        -          0.83       -          -          -          0.941     -
14  H1171TS304_4       304     Manifold-X           0.724    0.735    -        -        -         -        -        -        -        60.3     67.62      55.31       0.807      0.552      0.62           -          -          -        -          0.83       -          -          -          0.941     -
15  H1171TS248_3       248     Manifold             0.721    0.733    -        -        -         -        -        -        -        59.0     68.16      53.63       0.807      0.547      0.61           -          -          -        -          0.90       -          -          -          0.940     -
16  H1171TS439_3       439     Yang                 0.721    0.736    -        -        -         -        -        -        -        54.2     63.68      48.94       0.781      0.503      0.57           -          -          -        -          1.92       -          -          -          0.943     -
17  H1171TS147_2       147     SHT                  0.721    0.730    -        -        -         -        -        -        -        57.2     59.08      58.29       0.804      0.524      0.63           -          -          -        -          1.89       -          -          -          0.940     -
18  H1171TS229_3       229s    Yang-Server          0.721    0.736    -        -        -         -        -        -        -        54.2     63.68      48.94       0.781      0.503      0.57           -          -          -        -          1.92       -          -          -          0.943     -
19  H1171TS035_3       035s    Manifold-E           0.721    0.733    -        -        -         -        -        -        -        59.0     68.16      53.63       0.807      0.547      0.61           -          -          -        -          0.90       -          -          -          0.940     -
20  H1171TS304_3       304     Manifold-X           0.721    0.733    -        -        -         -        -        -        -        59.0     68.16      53.63       0.807      0.547      0.61           -          -          -        -          0.90       -          -          -          0.940     -
21  H1171TS046_3       046s    Manifold-LC-E        0.721    0.733    -        -        -         -        -        -        -        59.0     68.16      53.63       0.807      0.547      0.61           -          -          -        -          0.90       -          -          -          0.940     -
22  H1171TS320_2       320     Elofsson             0.720    0.730    -        -        -         -        -        -        -        56.6     59.20      56.81       0.805      0.518      0.63           -          -          -        -          1.85       -          -          -          0.940     -
23  H1171TS390_2       390s    NBIS-AF2-multimer    0.720    0.730    -        -        -         -        -        -        -        56.6     59.20      56.81       0.805      0.518      0.63           -          -          -        -          1.85       -          -          -          0.940     -
24  H1171TS180_2       180     McGuffin             0.720    0.730    -        -        -         -        -        -        -        56.6     59.20      56.81       0.805      0.518      0.63           -          -          -        -          1.85       -          -          -          0.940     -
